Cod_Tipo,Tipo,Cod_Concepto,Concepto,Cod_Cuenta,Cuenta,Cod_SubCuenta,SubCuenta,Cod_Auxiliar,Auxiliar
4,Aplicaciones financieras,4.6,Primas  en Recompra de Títulos y Valores,4.6.2,Primas en Recompra de Títulos Valores de Largo Plazo,4.6.2.1,Primas en Recompra de Títulos Valores Internos y Externos de Largo Plazo,4.6.2.1.02,Primas en Recompra de Títulos Valores Externos de Largo Plazo
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.1,TRANSFERENCIAS CORRIENTES AL SECTOR PRIVADO,2.4.1.1,Prestaciones a la seguridad social,2.4.1.1.05,Pensiones a personal policial
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.1,TRANSFERENCIAS CORRIENTES AL SECTOR PRIVADO,2.4.1.1,Prestaciones a la seguridad social,2.4.1.1.07,Pensiones Solidarias del Régimen Subsidiado
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.1,Disminución de cuentas por pagar de corto plazo,4.2.1.1.03,Disminución de ctas. por pagar internas de corto plazo deuda administrativa
2,GASTOS,2.5,TRANSFERENCIAS DE CAPITAL,2.5.9,TRANSFERENCIAS DE CAPITAL A OTRAS INSTITUCIONES PÚBLICAS,2.5.9.3,Transferencia de capital para inversión en proyectos,2.5.9.3.01,Transferencia de Capital para Inversión en proyectos
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.2,Disminución de pasivos no corrientes,4.2.2.1,Disminución de cuentas por pagar de largo plazo,4.2.2.1.01,Disminución de cuentas por pagar internas de largo plazo
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.8,BIENES INTANGIBLES,2.6.8.8,"Licencias informáticas e intelectuales, industriales y comerciales",2.6.8.8.02,Licencias Intelectuales
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.9,"EDIFICIOS, ESTRUCTURAS, TIERRAS, TERRENOS Y OBJETOS DE VALOR",2.6.9.5,Objetos de valor,2.6.9.5.03,Objetos del patrimonio cultural
2,GASTOS,2.8,ADQUISICION DE ACTIVOS FINANCIEROS CON FINES DE POLÍTICA,2.8.1,CONCESIÓN DE PRESTAMOS,2.8.1.1,Concesión de préstamos al sector privado,2.8.1.1.01,Concesión de préstamos de empresas privadas internas
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.1,INTERESES DE LA DEUDA PÚBLICA INTERNA,2.9.1.1,Intereses de la deuda pública interna de corto plazo,2.9.1.1.01,Intereses de la deuda pública interna de corto plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.3,Disminución de préstamos de corto plazo,4.2.1.3.01,Disminución de préstamos internos de corto plazo
2,GASTOS,2.5,TRANSFERENCIAS DE CAPITAL,2.5.2,TRANSFERENCIAS DE CAPITAL AL GOBIERNO GENERAL  NACIONAL,2.5.2.1,Aportaciones de capital a instituciones del gobierno central,2.5.2.1.02,Aportaciones de capital al Poder Ejecutivo
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.2,TRANSFERENCIAS CORRIENTES AL  GOBIERNO GENERAL NACIONAL,2.4.2.1,Aportaciones a instituciones del gobierno central,2.4.2.1.03,Aportaciones corrientes al Poder Judicial
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.2,Disminución de pasivos no corrientes,4.2.2.1,Disminución de cuentas por pagar de largo plazo,4.2.2.1.02,Disminución de cuentas por pagar externas de largo plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.1,Disminución de cuentas por pagar de corto plazo,4.2.1.1.01,Disminución de cuentas por pagar internas de corto plazo
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.8,BIENES INTANGIBLES,2.6.8.8,"Licencias informáticas e intelectuales, industriales y comerciales",2.6.8.8.03,Licencias Industriales
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.1,Remuneraciones al personal fijo,2.1.1.1.06,Nuevas plazas a médicos
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.4,TRANSFERENCIAS CORRIENTES A SOCIEDADES PÚBLICAS NO FINANCIERAS,2.4.4.2,Transferencias corrientes a empresas públicas no financieras municipales,2.4.4.2.02,Otras transferencias corrientes a empresas públicas no financieras municipales
2,GASTOS,2.5,TRANSFERENCIAS DE CAPITAL,2.5.6,TRANSFERENCIAS DE CAPITAL AL SECTOR EXTERNO,2.5.6.2,Transferencias de capital a organismos internacionales,2.5.6.2.01,Transferencias  de capital a Organismos Internacionales
4,Aplicaciones financieras,4.1,Incremento de activos financieros,4.1.1,Incremento de activos financieros corrientes,4.1.1.2,Incremento de inversiones financieras de corto plazo,4.1.1.2.01,Incremento de inversiones financieras internas de corto plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.2,Disminución de documentos por pagar de corto plazo,4.2.1.2.01,Disminución de documentos por pagar internas de corto plazo
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.8,BIENES INTANGIBLES,2.6.8.8,"Licencias informáticas e intelectuales, industriales y comerciales",2.6.8.8.04,Licencias Comerciales
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.9,TRANSFERENCIAS CORRIENTES A OTRAS INSTITUCIONES PÚBLICAS,2.4.9.4,Electricidad no cortable en las transferencias a otras instituciones públicas,2.4.9.4.01,Electricidad no cortable en las transferencias a otras instituciones públicas
2,GASTOS,2.5,TRANSFERENCIAS DE CAPITAL,2.5.1,TRANSFERENCIAS DE CAPITAL AL SECTOR PRIVADO,2.5.1.2,Transferencias de capital a asociaciones  privadas sin fines de lucro,2.5.1.2.02,Transferencias de capital a federaciones deportivas
2,GASTOS,2.7,OBRAS,2.7.2,INFRAESTRUCTURA,2.7.2.8,Obras en cementerios,2.7.2.8.01,Obras en cementerios
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.7,ACTIVOS BIOLÓGICOS,2.6.7.2,Porcinos,2.6.7.2.01,Porcinos
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.7,ACTIVOS BIOLÓGICOS,2.6.7.6,Equinos,2.6.7.6.01,Equinos
2,GASTOS,2.5,TRANSFERENCIAS DE CAPITAL,2.5.2,TRANSFERENCIAS DE CAPITAL AL GOBIERNO GENERAL  NACIONAL,2.5.2.3,Transferencias de capital a instituciones públicas de la seguridad social,2.5.2.3.02,Otras transferencias de capital instituciones públicas de la seguridad social
2,GASTOS,2.6,"BIENES MUEBLES, INMUEBLES E INTANGIBLES",2.6.8,BIENES INTANGIBLES,2.6.8.7,Concesiones,2.6.8.7.01,Concesiones
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.2,INTERESES DE LA DEUDA PUBLICA EXTERNA,2.9.2.1,Intereses de la deuda pública externa de corto plazo,2.9.2.1.01,Intereses de la deuda pública externa de corto plazo
2,GASTOS,2.7,OBRAS,2.7.3,CONSTRUCCIONES EN BIENES CONCESIONADOS,2.7.3.1,Construcciones en bienes de uso público concesionados,2.7.3.1.01,Construcciones en bienes de uso público concesionados
2,GASTOS,2.4,TRANSFERENCIAS CORRIENTES,2.4.6,SUBVENCIONES,2.4.6.3,Subvenciones a instituciones públicas financieras no monetarias,2.4.6.3.01,Subvenciones a Instituciones Públicas Financieras no Monetarias
