Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,2,DIRECCION GENERAL DE ESCUELAS VOCACIONALES
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,3,DIRECCIÓN GENERAL DE COMUNIDADES FRONTERIZAS
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,4,INSTITUTO DE SEGURIDAD SOCIAL DE LAS FUERZAS ARMADAS
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,5,HOSPITAL CENTRAL FUERZAS  ARMADAS
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,6,INSTITUTO CARTOGRÁFICO MILITAR DE LAS FUERZAS ARMADAS
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,7,ESC DE GRAD.DE COM.Y ESTADO MAYOR CONJ.'GRAL DE DIV. GREGORIO LUPERON'
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,8,CÍRCULO DEPORTIVO DE LAS FUERZAS ARMADAS Y LA POLICIA NACIONAL
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,9,ESCUELA DE GRADUADOS EN DERECHOS HUMANOS Y DERECHO INTERNACIONAL HUMANITARIO
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,10,'ESCUELA DE GRADUADOS DE ALTOS ESTUDIOS ESTRATÉGICOS' (EGAEE)
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,11,COMISION PERMANENTE PARA LA REFORMA Y MODERNIZACIÓN DE LAS  FF.AA Y P.N.
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,12,CUERPO ESPECIALIZADO DE SEGURIDAD FRONTERIZA TERRESTRE
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,14,DIRECCION GENERAL DE LA RESERVA DE LAS FUERZAS ARMADAS Y POLICIA NACIONAL
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,15,CUERPOS ESPECIALIZADOS DE SEGURIDAD PORTUARIA
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,17,SERVICIO MILITAR VOLUNTARIO
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,19,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,20,CUERPO ESPECIALIZADO PARA LA SEGURIDAD DEL METRO DE SANTO DOMINGO
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,26,Cuerpo Especializado de Seguridad Aeroportuaria y de Aviación Civil (CESAC)
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,27,DIRECCION GENERAL DEL PLAN SOCIAL DEL MINISTERIO DE DEFENSA
